,Studio,Type,City,State/Province,Country
102,Neostream, Developer,Ryde,New South Wales,Australia
103,Nnooo, Developer,Sydney,New South Wales,Australia
104,No Moss Studios, Developer,Surry Hills,New South Wales,Australia
105,Noodum, Mobile,Sydney,New South Wales,Australia
106,Normal Wholesome Games, Developer,Melbourne,Victoria,Australia
107,OD1N Studios, Developer,Melbourne,Victoria,Australia
108,ODD Games, Developer,Adelaide,South Australia,Australia
109,Onerat Games, Developer,Melbourne,Victoria,Australia
110,Opaque Media Group, Virtual Reality,Melbourne,Victoria,Australia
111,Opaque Space, Virtual Reality,Melbourne,Victoria,Australia
112,Panda Arcade, Mobile,Melbourne,Victoria,Australia
113,Panther Games , Developer,Canberra,Australian Capital Territory,Australia
114,Paper House, Developer,Melbourne,Victoria,Australia
115,Powerhoof, Developer,Melbourne,Victoria,Australia
116,prettygreat, Developer,Brisbane,Queensland,Australia
117,Prideful Sloth, Developer,Brisbane,Queensland,Australia
118,Protostar, Developer,Brisbane,Queensland,Australia
119,Pub Games, Developer,Melbourne,Victoria,Australia
120,Red Sprite Studios, Developer,Brisbane,Queensland,Australia
121,Right Pedal Studios, Publisher,Brisbane,Queensland,Australia
122,Riot Games, Online,Sydney,New South Wales,Australia
123,Robot Circus, Developer,Melbourne,Victoria,Australia
124,Samurai Punk, Developer,Melbourne,Victoria,Australia
125,Screwtape Studios, Developer,Brisbane,Queensland,Australia
126,Secret Lab, Mobile,Hobart,Tasmania,Australia
127,Sega Australia, Publisher,Sydney,New South Wales,Australia
128,Shadowplay Studios, Developer,Sydney,New South Wales,Australia
129,Shark Jump, Developer,Adelaide,South Australia,Australia
130,Sidebar Games, Developer,Brisbane,Queensland,Australia
131,SMG Studio, Developer,Melbourne,Victoria,Australia
132,SMG Studio, Developer,Ultimo,New South Wales,Australia
133,Space Dust Studios, Developer,Melbourne,Victoria,Australia
134,Spunge Games, Mobile,Brisbane,Queensland,Australia
135,Starburnt Studios, Developer,Brisbane,Queensland,Australia
136,Stick Sports, Mobile,Sydney,New South Wales,Australia
137,Stirfire Studios, Developer,Perth,Western Australia,Australia
138,Subversive Games, Developer,Canberra,Australian Capital Territory,Australia
139,Subversive Games, Developer,Perth,Western Australia,Australia
140,Take 2 Interactive Australia, Publisher,Hornsby,New South Wales,Australia
141,Tantalus, Developer,Brisbane,Queensland,Australia
142,Tantalus, Developer,Melbourne,Victoria,Australia
143,Tasmanian Game Development Society, Organization,Hobart,Tasmania,Australia
144,Team Cherry, Developer,Adelaide,South Australia,Australia
145,The Binary Mill, Mobile,Gold Coast,Queensland,Australia
146,The Voxel Agents, Developer,Melbourne,Victoria,Australia
147,Three Phase Interactive, Developer,Melbourne,Victoria,Australia
148,Tin Man Games, Mobile,Melbourne,Victoria,Australia
149,Toast VR, Virtual Reality,Brisbane,Queensland,Australia
150,Torus Games, Developer,Mitcham,Victoria,Australia
151,True Axis, Mobile,Melbourne,Victoria,Australia
152,Two Moos, Developer,Melbourne,Victoria,Australia
153,Uppercut Games, Developer and Publisher,Canberra,Australian Capital Territory,Australia
154,VR Bits, Developer,Canberra,Australian Capital Territory,Australia
155,Wargaming CTG Sydney (Bigworld), Online,Sydney,New South Wales,Australia
156,Wicked Witch Software, Developer,Melbourne,Victoria,Australia
157,Witch Beam, Developer,Brisbane,Queensland,Australia
158,Bongfish, Publisher,Graz,Steiermark,Austria
159,Broken Rules, Developer,Vienna,Vienna,Austria
160,Cliffhanger Productions, Online,Vienna,Vienna,Austria
161,Clockstone Studio, Developer,Innsbruck,Tyrol,Austria
162,Crafty Studios Game Development, Developer,Pöttsching,Burgenland,Austria
163,Exozet, Developer,Vienna,Vienna,Austria
164,Games Austria, Organization,Vienna,Vienna,Austria
165,Impetus Games, Developer,Vienna,Vienna,Austria
166,Iron Mountain Interactive, Developer,Vienna,Vienna,Austria
167,Koch Media, Publisher,Hofen,Reutte,Austria
168,Mi'pu'mi Games, Developer,Vienna,Vienna,Austria
169,Moon Studios, Developer,Vienna,Vienna,Austria
